Output file for program Grate_NESI
there are twenty-four columns in the output.  they are:
column no. 1:  X coordinates in meters
column no. 2:  Bed elevation in meters
column no. 3:  Flow depth in meters
column no. 4:  Channel width (m)
column no. 5:  Channel theta (deg)
column no. 6:  Number of channels
column no. 7:  Geometric mean grain size (mm) below the surface layer
column no. 8:  Geometric mean grain size (mm) of the surface layer
column no. 9:  Standard deviation at the same position.
column no. 10:  Sediment transport rate (m2/s)
column no. 11:  Sand percentage (Fs)
column no. 12-24: Surface grain size matrix (12 classes)
qwTweak = 1
qsTweak = 1
substrDial = 0
feedQw = 1
feedQs = 1
HmaxTweak = 1
randAbr = 1e-05


Count:  0
0	479.762	1.5	17.8326	40	1	0	5.25808	1.25519	0	0.0319412	0.0177414	0.00321065	0.00399657	0.00699261	0.0147992	0.0279877	0.047434	0.201171	0.373604	0.216847	0.0548649	0.0313514	0
100	469.663	1.5	17.8745	40	1	0	5.25808	1.25519	0	0.0319412	0.0177414	0.00321065	0.00399657	0.00699261	0.0147992	0.0279877	0.047434	0.201171	0.373604	0.216847	0.0548649	0.0313514	0
200	463.804	1.5	18.2687	40	1	0	5.25808	1.25519	0	0.0319412	0.0177414	0.00321065	0.00399657	0.00699261	0.0147992	0.0279877	0.047434	0.201171	0.373604	0.216847	0.0548649	0.0313514	0
300	458.362	1.5	18.0613	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
400	453.514	1.5	18.0613	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
500	448.053	1.5	18.0613	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
600	442.033	1.5	17.6124	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
700	436.704	1.5	17.5766	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
800	428.688	1.5	18.2844	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
900	426.173	1.5	19.9154	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1000	421.226	1.5	22.2756	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1100	417.241	1.5	23.9245	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1200	412.575	1.5	24.5912	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1300	408.68	1.5	24.2927	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1400	404.478	1.5	24.0617	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1500	398.939	1.5	24.1015	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1600	394.221	1.5	26.4603	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1700	390.005	1.5	30.0421	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1800	386.185	1.5	33.7681	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
1900	381.072	1.5	36.5681	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
2000	375.303	1.5	38.3681	40	1	0	4.61164	1.35299	0	0.0560579	0.0311367	0.00563479	0.00701411	0.0122723	0.0259731	0.0491194	0.0864749	0.236733	0.389744	0.147237	0.00866097	0	0
2100	372.654	1.5	38.3717	40	1	0	5.52724	0.860798	0	0.00712866	0.00395953	0.000716555	0.000891957	0.00156062	0.0033029	0.00624633	0.0274154	0.236701	0.430917	0.197251	0.0697964	0.0212424	0
2200	369.252	1.5	36.1044	40	1	0	5.52724	0.860798	0	0.00712866	0.00395953	0.000716555	0.000891957	0.00156062	0.0033029	0.00624633	0.0274154	0.236701	0.430917	0.197251	0.0697964	0.0212424	0
