0	2000	1	12	1	0	0	42	1
0	2001	1	12	1	0	0	42	1

250	2000	1	12	1	0	0	3	1
250	2001	1	12	1	0	0	3	1

500	2000	1	12	1	0	0	3	1
500	2001	1	12	1	0	0	3	1

750	2000	1	12	1	0	0	3	1
750	2001	1	12	1	0	0	3	1

1000	2000	1	12	1	0	0	3	1
1000	2001	1	12	1	0	0	3	1

1250	2000	1	12	1	0	0	3	1
1250	2001	1	12	1	0	0	3	1

1500	2000	1	12	1	0	0	3	1
1500	2001	1	12	1	0	0	3	1

1750	2000	1	12	1	0	0	3	1
1750	2001	1	12	1	0	0	3	1

2000	2000	1	12	1	0	0	3	1
2000	2001	1	12	1	0	0	3	1

2250	2000	1	12	1	0	0	3	1
2250	2001	1	12	1	0	0	3	1

2500	2000	1	12	1	0	0	3	1
2500	2001	1	12	1	0	0	3	1

2750	2000	1	12	1	0	0	3	1
2750	2001	1	12	1	0	0	3	1

3000	2000	1	12	1	0	0	3	1
3000	2001	1	12	1	0	0	3	1

3250	2000	1	12	1	0	0	3	1
3250	2001	1	12	1	0	0	3	1

3500	2000	1	12	1	0	0	3	1
3500	2001	1	12	1	0	0	3	1

3750	2000	1	12	1	0	0	3	1
3750	2001	1	12	1	0	0	3	1

4000	2000	1	12	1	0	0	3	1
4000	2001	1	12	1	0	0	3	1

4250	2000	1	12	1	0	0	3	1
4250	2001	1	12	1	0	0	3	1

4500	2000	1	12	1	0	0	3	1
4500	2001	1	12	1	0	0	3	1

4750	2000	1	12	1	0	0	3	1
4750	2001	1	12	1	0	0	3	1

5000	2000	1	12	1	0	0	3	1
5000	2001	1	12	1	0	0	3	1

5250	2000	1	12	1	0	0	3	1
5250	2001	1	12	1	0	0	3	1

5500	2000	1	12	1	0	0	3	1
5500	2001	1	12	1	0	0	3	1

5750	2000	1	12	1	0	0	3	1
5750	2001	1	12	1	0	0	3	1

6000	2000	1	12	1	0	0	3	1
6000	2001	1	12	1	0	0	3	1

6250	2000	1	12	1	0	0	3	1
6250	2001	1	12	1	0	0	3	1

6500	2000	1	12	1	0	0	3	1
6500	2001	1	12	1	0	0	3	1

6750	2000	1	12	1	0	0	3	1
6750	2001	1	12	1	0	0	3	1

7000	2000	1	12	1	0	0	3	1
7000	2001	1	12	1	0	0	3	1
